Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,AQI Category_encoded,CO AQI Category_encoded,Ozone AQI Category_encoded,NO2 AQI Category_encoded,PM2.5 AQI Category_encoded,Total_Pollution_Score,Country_encoded,City_encoded
Cuba,Sancti Spiritus,53.0,1.0,25.0,1.0,53.0,1,0,0,0,1,22.599999999999998,39,18184
Bulgaria,Sandanski,55.0,1.0,45.0,0.0,55.0,1,0,0,0,1,27.95,23,18190
United States of America,Sandy Springs,69.0,1.0,68.5,3.0,29.0,1,0,1,0,0,26.9,166,18200
Guatemala,Santa Catarina Pinula,57.0,1.0,24.0,0.0,57.0,1,0,0,0,1,23.299999999999997,61,18255
United States of America,Santa Flavia,61.0,1.0,47.0,0.0,61.0,1,0,0,0,1,30.25,166,18278
United States of America,Santa Monica,116.0,1.0,14.0,10.0,116.0,2,0,0,0,2,45.15,166,18305
El Salvador,Santa Rosa De Lima,71.0,1.0,37.0,3.0,71.0,1,0,0,0,1,31.5,48,18316
Colombia,Santa Rosa,64.0,1.0,31.0,0.0,64.0,1,0,0,0,1,27.15,34,18313
Venezuela (Bolivarian Republic of),Santa Teresa,53.0,1.0,28.0,1.0,53.0,1,0,0,0,1,23.349999999999998,170,18320
Brazil,Santos Dumont,39.0,1.0,22.0,0.0,39.0,0,0,0,0,0,17.2,22,18367
Portugal,Sao Felix Da Marinha,41.0,1.0,41.0,0.0,20.0,0,0,0,0,0,16.25,124,18384
Brazil,Sao Joaquim Da Barra,38.0,1.0,26.0,0.0,38.0,0,0,0,0,0,18.099999999999998,22,18414
Brazil,Sao Joaquim,14.0,1.0,14.0,0.0,10.0,0,0,0,0,0,6.5,22,18413
Brazil,Sao Miguel Do Araguaia,17.0,1.0,17.0,0.0,10.0,0,0,0,0,0,7.25,22,18447
Brazil,Sao Sepe,24.0,1.0,18.0,0.0,24.0,0,0,0,0,0,11.7,22,18465
Brazil,Sapiranga,47.0,1.0,17.0,1.0,47.0,0,0,0,0,0,18.8,22,18472
United States of America,Coconut Creek,81.0,1.0,18.0,10.0,81.0,1,0,0,0,1,32.2,166,4534
El Salvador,Cojutepeque,123.0,1.0,1.0,10.0,123.0,2,0,0,0,2,41.949999999999996,48,4553
Italy,Colleferro,72.0,1.0,37.0,3.0,72.0,1,0,0,0,1,31.799999999999997,75,4567
Brazil,Conceicao Das Alagoas,35.0,1.0,4.0,1.0,35.0,0,0,0,0,0,11.95,22,4631
United States of America,Conroe,81.0,1.0,12.0,10.0,81.0,1,0,0,0,1,30.2,166,4654
Italy,Cordenons,67.0,1.0,39.0,2.0,67.0,1,0,0,0,1,30.549999999999997,75,4704
Brazil,Coremas,27.0,1.0,10.0,1.0,27.0,0,0,0,0,0,10.85,22,4707
Nicaragua,Corinto,69.0,1.0,14.0,3.0,69.0,1,0,0,0,1,25.15,111,4713
Canada,Courtenay,47.0,1.0,36.0,0.0,47.0,0,0,0,0,0,23.3,29,4789
Belgium,Couvin,62.0,1.0,37.0,3.0,62.0,1,0,0,0,1,28.799999999999997,15,4790
Canada,Cowansville,63.0,1.0,28.0,3.0,63.0,1,0,0,0,1,26.849999999999998,29,4798
United States of America,Creve Coeur,60.0,1.0,24.0,10.0,60.0,1,0,0,0,1,27.65,166,4834
United States of America,Crotone,44.0,1.0,44.0,0.0,44.0,0,0,0,0,0,24.4,166,4848
India,Dahegam,139.0,1.0,38.0,1.0,145.0,3,0,0,0,3,56.15,69,4984
Brazil,Chapeco,46.0,1.0,5.0,4.0,46.0,0,0,0,0,0,16.249999999999996,22,4027
United States of America,Chapel Hill,60.0,1.0,34.0,7.0,60.0,1,0,0,0,1,28.65,166,4028
France,Chartres,38.0,1.0,29.0,2.0,38.0,0,0,0,0,0,19.349999999999998,54,4052
India,Chas,139.0,1.0,68.5,2.0,145.0,3,0,1,0,3,70.29999999999998,69,4053
India,Chechat,139.0,1.0,38.0,0.0,145.0,3,0,0,0,3,64.3,69,4090
India,Chengalpattu,70.0,1.0,40.0,1.0,70.0,1,0,0,0,1,31.45,69,4111
India,Chengam,34.0,1.0,29.0,0.0,34.0,0,0,0,0,0,17.65,69,4112
China,Chengmai,66.0,1.0,66.0,1.0,63.0,1,0,1,0,1,36.05,33,4118
Peru,Chepen,81.0,1.0,9.0,3.0,81.0,1,0,0,0,1,27.7,121,4122
France,Cherbourg,49.0,1.0,13.0,10.0,49.0,0,0,0,0,0,20.65,54,4125
India,Chhapra,139.0,1.0,68.5,2.0,145.0,2,0,1,0,2,70.54999999999998,69,4166
Mexico,Chiautempan,139.0,1.0,6.0,10.0,145.0,3,0,0,0,3,62.4,100,4186
Guatemala,Chichicastenango,61.0,1.0,7.0,5.0,61.0,1,0,0,0,1,21.7,61,4199
India,Chicholi,139.0,1.0,68.5,0.0,145.0,3,0,1,0,3,70.15,69,4203
Mexico,Chimalhuacan,139.0,1.0,2.0,10.0,145.0,4,0,0,0,4,74.94999999999999,100,4241
India,Chinchani,112.0,1.0,24.0,0.0,112.0,2,0,0,0,2,39.800000000000004,69,4250
Russian Federation,Chita,39.0,1.0,39.0,0.0,17.0,0,0,0,0,0,15.049999999999999,130,4287
United Republic of Tanzania,Chiungutwa,47.0,1.0,20.0,0.0,47.0,0,0,0,0,0,19.3,165,4298
Argentina,Chivilcoy,16.0,1.0,16.0,1.0,14.0,0,0,0,0,0,8.45,5,4301
Republic of Moldova,Cimislia,43.0,1.0,43.0,0.0,16.0,0,0,0,0,0,15.75,127,4416
Italy,Cingoli,45.0,1.0,45.0,2.0,45.0,0,0,0,0,0,25.45,75,4421
United States of America,Clearfield,56.0,1.0,6.0,10.0,56.0,1,0,0,0,1,21.75,166,4477
Netherlands,Ommen,32.0,1.0,32.0,1.0,28.0,0,0,0,0,0,16.65,109,15045
Russian Federation,Ordynskoye,36.0,1.0,36.0,0.0,29.0,0,0,0,0,0,17.9,130,15103
Philippines,Oroquieta,93.0,1.0,18.0,0.0,93.0,1,0,0,0,1,32.6,122,15143
United States of America,Oskaloosa,65.0,1.0,20.0,8.0,65.0,1,0,0,0,1,26.9,166,15177
Chile,Osorno,67.0,1.0,3.0,10.0,67.0,1,0,0,0,1,23.749999999999996,32,15187
Germany,Osterholz Scharmbeck,32.0,1.0,29.0,1.0,32.0,0,0,0,0,0,17.1,58,15195
Brazil,Ouro Fino,22.0,1.0,22.0,0.0,11.0,0,0,0,0,0,8.8,22,15263
United States of America,Owings Mills,53.0,1.0,32.0,5.0,53.0,1,0,0,0,1,25.349999999999998,166,15287
Brazil,Pacatuba,31.0,1.0,20.0,1.0,31.0,0,0,0,0,0,14.549999999999999,22,15323
Indonesia,Pacet,98.0,1.0,68.5,1.0,98.0,1,0,1,0,1,51.05,70,15325
Mexico,Pachuca,139.0,1.0,14.0,6.0,142.0,2,0,0,0,2,48.0,100,15330
France,Paea,32.0,1.0,32.0,0.0,13.0,0,0,0,0,0,11.9,54,15350
Peru,Paijan,31.0,1.0,19.0,1.0,31.0,0,0,0,0,0,14.299999999999999,121,15366
Chile,Paine,139.0,1.0,0.0,10.0,145.0,3,0,0,0,3,65.35,32,15369
Spain,Palamos,35.0,1.0,35.0,1.0,35.0,0,0,0,0,0,19.7,146,15403
United States of America,Palatine,80.0,1.0,7.0,10.0,80.0,1,0,0,0,1,32.6,166,15410
