Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,AQI Category_encoded,CO AQI Category_encoded,Ozone AQI Category_encoded,NO2 AQI Category_encoded,PM2.5 AQI Category_encoded,Total_Pollution_Score,Country_encoded,City_encoded
Russian Federation,Praskoveya,51.0,1.0,36.0,0.0,51.0,1,0,0,0,1,24.499999999999996,130,16525
Brazil,Presidente Dutra,41.0,1.0,5.0,1.0,41.0,0,0,0,0,0,13.999999999999998,22,16546
Italy,Priolo Gargallo,66.0,1.0,39.0,2.0,66.0,1,0,0,0,1,30.25,75,16582
Poland,Przasnysz,34.0,1.0,34.0,0.0,20.0,0,0,0,0,0,14.7,123,16618
France,Punaauia,22.0,1.0,22.0,0.0,6.0,0,0,0,0,0,7.3,54,16699
United States of America,Punta Gorda,54.0,1.0,14.0,10.0,54.0,1,0,0,0,1,22.65,166,16713
Germany,Puttlingen,62.0,1.0,35.0,3.0,62.0,1,0,0,0,1,28.299999999999997,58,16749
Belgium,Puurs,64.0,1.0,29.0,7.0,64.0,1,0,0,0,1,28.4,15,16751
Russian Federation,Pyatigorsk,54.0,1.0,41.0,1.0,54.0,1,0,0,0,1,26.9,130,16756
Egypt,Qalyub,139.0,1.0,68.5,9.0,142.0,2,0,1,0,2,67.69999999999999,47,16768
China,Qinzhou,68.0,1.0,68.0,1.0,58.0,1,0,1,0,1,35.05,33,16793
Netherlands,Raalte,41.0,1.0,24.0,6.0,41.0,0,0,0,0,0,19.999999999999996,109,16880
India,Radaur,139.0,1.0,68.5,1.0,145.0,3,0,2,0,3,83.0,69,16894
Pakistan,Radhan,139.0,1.0,50.0,1.0,145.0,3,0,0,0,3,60.35,116,16902
Republic of North Macedonia,Radovis,83.0,1.0,46.0,0.0,83.0,1,0,0,0,1,36.6,128,16911
France,Raismes,59.0,1.0,30.0,4.0,59.0,1,0,0,0,1,26.4,54,16944
India,Rajgir,139.0,1.0,68.5,2.0,145.0,3,0,2,0,3,72.29999999999998,69,16960
Italy,Ramacca,55.0,1.0,47.0,0.0,55.0,1,0,0,0,1,28.45,75,16979
United States of America,Phoenix,72.0,1.0,4.0,10.0,72.0,1,0,0,0,1,28.549999999999997,166,16006
India,Phulabani,139.0,1.0,68.5,0.0,145.0,3,0,1,0,3,66.45,69,16019
Poland,Piaseczno,28.0,1.0,28.0,2.0,28.0,0,0,0,0,0,16.1,123,16032
India,Pimpri,118.0,1.0,30.0,2.0,118.0,2,0,0,0,2,43.8,69,16080
Brazil,Pindobacu,33.0,1.0,10.0,1.0,33.0,0,0,0,0,0,12.65,22,16091
China,Pingyin,139.0,1.0,68.5,6.0,145.0,3,0,1,0,3,70.85,33,16113
Brazil,Pinheiral,139.0,1.0,0.0,10.0,145.0,3,0,0,0,3,50.449999999999996,22,16117
India,Piravam,81.0,1.0,24.0,1.0,81.0,1,0,0,0,1,30.75,69,16158
Colombia,Plato,67.0,1.0,16.0,2.0,67.0,1,0,0,0,1,24.799999999999997,34,16220
Romania,Poiana Mare,62.0,1.0,37.0,1.0,62.0,1,0,0,0,1,28.299999999999997,129,16283
Russian Federation,Polevskoy,31.0,1.0,31.0,0.0,17.0,0,0,0,0,0,13.049999999999999,130,16299
France,Pontarlier,56.0,1.0,35.0,0.0,56.0,1,0,0,0,1,25.75,54,16354
United States of America,Pontiac,77.0,1.0,22.0,10.0,77.0,1,0,0,0,1,32.74999999999999,166,16365
Indonesia,Pontianak,44.0,1.0,15.0,0.0,44.0,0,0,0,0,0,17.15,70,16367
Brazil,Porecatu,30.0,1.0,9.0,2.0,30.0,0,0,0,0,0,11.95,22,16391
Finland,Pori,30.0,1.0,30.0,1.0,15.0,0,0,0,0,0,12.45,53,16392
South Africa,Port Elizabeth,79.0,1.0,18.0,5.0,79.0,1,0,0,0,1,30.05,144,16412
United States of America,Port Neches,34.0,1.0,19.0,7.0,34.0,0,0,0,0,0,16.9,166,16425
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51.0,1.0,20.0,5.0,51.0,1,0,0,0,1,21.749999999999996,164,16432
United States of America,Portales,77.0,1.0,34.0,0.0,77.0,1,0,0,0,1,31.799999999999997,166,16439
United States of America,Post Falls,61.0,1.0,32.0,3.0,61.0,1,0,0,0,1,27.25,166,16479
Brazil,Pouso Alegre,32.0,1.0,7.0,2.0,32.0,0,0,0,0,0,12.049999999999999,22,16494
China,Dalinghe,64.0,1.0,64.0,4.0,64.0,1,0,1,0,1,36.800000000000004,33,5004
Russian Federation,Dalnegorsk,29.0,1.0,29.0,0.0,25.0,0,0,0,0,0,14.75,130,5012
United Republic of Tanzania,Dar Es Salaam,51.0,1.0,23.0,0.0,51.0,1,0,0,0,1,21.249999999999996,165,5063
India,Darbhanga,139.0,1.0,68.5,1.0,145.0,4,0,3,0,4,115.44999999999999,69,5067
United States of America,Dayton,45.0,1.0,32.0,7.0,45.0,0,0,0,0,0,23.45,166,5127
Belgium,Deinze,36.0,1.0,25.0,3.0,36.0,0,0,0,0,0,17.999999999999996,15,5167
Egypt,Dekernes,81.0,1.0,68.5,4.0,56.0,1,0,1,0,1,38.449999999999996,47,5171
Haiti,Delmas,124.0,1.0,15.0,5.0,124.0,2,0,0,0,2,42.599999999999994,65,5191
United States of America,Deming,72.0,1.0,26.0,2.0,72.0,1,0,0,0,1,28.799999999999997,166,5202
United Kingdom of Great Britain and Northern Ireland,Denton,55.0,1.0,32.0,1.0,55.0,1,0,0,0,1,24.75,164,5221
United States of America,Destin,31.0,1.0,31.0,0.0,25.0,0,0,0,0,0,15.25,166,5264
Pakistan,Dhadar,139.0,1.0,68.5,0.0,145.0,3,0,1,0,3,69.55,116,5290
India,Dharmapuri,60.0,1.0,31.0,1.0,60.0,1,0,0,0,1,26.2,69,5315
Pakistan,Digri,139.0,1.0,40.0,0.0,145.0,3,0,0,0,3,56.1,116,5372
Somalia,Dinsor,22.0,1.0,19.0,0.0,22.0,0,0,0,0,0,11.35,143,5404
Philippines,Dipolog,30.0,1.0,17.0,0.0,30.0,0,0,0,0,0,13.45,122,5410
Latvia,Dobele,44.0,1.0,34.0,0.0,44.0,0,0,0,0,0,21.9,85,5439
United States of America,Grandville,47.0,1.0,37.0,4.0,47.0,0,0,0,0,0,24.55,166,7248
Netherlands,Grave,37.0,1.0,32.0,2.0,37.0,0,0,0,0,0,19.6,109,7263
United States of America,Green Valley,44.0,1.0,14.0,8.0,44.0,0,0,0,0,0,18.9,166,7281
United States of America,Greendale,58.0,1.0,14.0,10.0,58.0,1,0,0,0,1,27.299999999999997,166,7284
Poland,Grudziadz,37.0,1.0,33.0,0.0,37.0,0,0,0,0,0,19.35,123,7352
Colombia,Guamo,89.0,1.0,3.0,6.0,89.0,1,0,0,0,1,29.55,34,7385
Italy,Guardiagrele,52.0,1.0,38.0,7.0,52.0,1,0,0,0,1,27.25,75,7417
Chad,Guelengdeng,59.0,1.0,16.0,0.0,59.0,1,0,0,0,1,22.099999999999998,31,7450
United Kingdom of Great Britain and Northern Ireland,Guildford,51.0,1.0,25.0,6.0,51.0,1,0,0,0,1,23.249999999999996,164,7464
Philippines,Guiset,66.0,1.0,26.0,1.0,66.0,1,0,0,0,1,26.75,122,7477
Russian Federation,Gukovo,38.0,1.0,38.0,0.0,13.0,0,0,0,0,0,13.6,130,7484
United States of America,Havre De Grace,34.0,1.0,30.0,7.0,34.0,0,0,0,0,0,19.65,166,7823
United States of America,Hazelwood,88.0,1.0,11.0,10.0,88.0,1,0,0,0,1,34.55,166,7847
Germany,Heddesheim,54.0,1.0,31.0,3.0,54.0,1,0,0,0,1,24.9,58,7858
Germany,Heiligenhaus,44.0,1.0,28.0,3.0,44.0,0,0,0,0,0,21.15,58,7877
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51.0,1.0,26.0,6.0,51.0,1,0,0,0,1,23.499999999999996,164,7897
United States of America,Hicksville,67.0,1.0,15.0,10.0,67.0,1,0,0,0,1,29.999999999999996,166,7985
Brazil,Hidrolandia,42.0,1.0,5.0,2.0,42.0,0,0,0,0,0,14.549999999999999,22,7989
India,Gyanpur,139.0,1.0,68.5,1.0,145.0,3,0,1,0,3,82.1,69,7554
Germany,Haiger,49.0,1.0,25.0,3.0,49.0,0,0,0,0,0,21.9,58,7608
China,Hangzhou,139.0,1.0,68.5,5.0,145.0,4,0,4,0,3,98.3,33,7698
Germany,Harrislee,35.0,1.0,32.0,0.0,35.0,0,0,0,0,0,18.5,58,7751
United States of America,Harrison,90.0,1.0,25.0,2.0,90.0,1,0,0,0,1,33.95,166,7753
India,Harur,67.0,1.0,26.0,1.0,67.0,1,0,0,0,1,27.049999999999997,69,7766
Germany,Hasbergen,36.0,1.0,34.0,1.0,36.0,0,0,0,0,0,19.549999999999997,58,7773
France,Haubourdin,48.0,1.0,28.0,4.0,48.0,0,0,0,0,0,22.599999999999998,54,7806
United States of America,Taunton,41.0,1.0,28.0,10.0,41.0,0,0,0,0,0,21.999999999999996,166,20493
New Zealand,Tauranga,19.0,1.0,19.0,1.0,17.0,0,0,0,0,0,10.1,110,20497
Tunisia,Tawzar,73.0,1.0,43.0,0.0,73.0,1,0,0,0,1,32.85,158,20512
Viet Nam,Tay Ninh,45.0,1.0,18.0,1.0,45.0,0,0,0,0,0,18.25,171,20514
Iran (Islamic Republic of),Taybad,139.0,1.0,43.0,0.0,145.0,3,0,0,0,3,61.95,71,20515
Italy,Teano,47.0,1.0,47.0,1.0,36.0,0,0,0,0,0,22.999999999999996,75,20536
India,Tekkali,139.0,1.0,68.5,1.0,145.0,3,0,1,0,3,67.85,69,20567
Brazil,Teodoro Sampaio,46.0,1.0,9.0,1.0,46.0,0,0,0,0,0,16.499999999999996,22,20622
Mexico,Tepeaca,139.0,1.0,2.0,10.0,145.0,3,0,0,0,3,55.85,100,20634
Mexico,Tequila,64.0,1.0,15.0,2.0,64.0,1,0,0,0,1,23.65,100,20643
Italy,Teramo,44.0,1.0,44.0,1.0,38.0,0,0,0,0,0,22.849999999999998,75,20648
Viet Nam,Thai Nguyen,139.0,1.0,68.5,1.0,105.0,3,0,3,0,2,69.85,171,20716
China,Tianjin,139.0,1.0,68.5,9.0,142.0,2,0,2,0,2,73.89999999999999,33,20785
Indonesia,Tidore,21.0,1.0,13.0,0.0,21.0,0,0,0,0,0,9.55,70,20797
Romania,Timisoara,47.0,1.0,42.0,0.0,47.0,0,0,0,0,0,24.8,129,20836
Tunisia,Tinjah,48.0,1.0,48.0,1.0,29.0,0,0,0,0,0,21.15,158,20850
Philippines,Toboso,54.0,1.0,20.0,0.0,54.0,1,0,0,0,1,21.4,122,20931
Japan,Tokorozawa,60.0,1.0,44.0,3.0,60.0,1,0,0,0,1,29.95,77,20955
Mexico,Toluca,139.0,1.0,8.0,10.0,145.0,3,0,0,0,3,57.349999999999994,100,20969
Brazil,Itapissuma,27.0,1.0,23.0,1.0,27.0,0,0,0,0,0,14.1,22,8772
Brazil,Itarantim,23.0,1.0,7.0,1.0,23.0,0,0,0,0,0,9.099999999999998,22,8781
Brazil,Itumbiara,31.0,1.0,13.0,0.0,31.0,0,0,0,0,0,12.749999999999998,22,8806
Mexico,Ixtaczoquitlan,88.0,1.0,13.0,9.0,88.0,1,0,0,0,1,32.5,100,8839
El Salvador,Izalco,90.0,1.0,22.0,9.0,90.0,1,0,0,0,1,35.15,48,8845
United Republic of Tanzania,Izazi,28.0,1.0,15.0,0.0,28.0,0,0,0,0,0,12.35,165,8847
Russian Federation,Izberbash,51.0,1.0,38.0,0.0,51.0,1,0,0,0,1,24.999999999999996,130,8848
India,Jabalpur,139.0,1.0,38.0,0.0,145.0,3,0,0,0,3,60.7,69,8862
Brazil,Jaguaquara,22.0,1.0,9.0,1.0,22.0,0,0,0,0,0,9.1,22,8896
India,Jahanabad,139.0,1.0,68.5,1.0,145.0,3,0,3,0,3,89.85,69,8905
Bulgaria,Jambol,40.0,1.0,40.0,0.0,32.0,0,0,0,0,0,19.8,23,8945
Poland,Jarocin,47.0,1.0,27.0,2.0,47.0,0,0,0,0,0,21.55,123,8989
Philippines,Jasaan,59.0,1.0,32.0,0.0,59.0,1,0,0,0,1,25.9,122,8997
Nigeria,Ilobu,133.0,1.0,23.0,3.0,133.0,2,0,0,0,2,47.199999999999996,113,8513
Finland,Imatra,29.0,1.0,29.0,1.0,7.0,0,0,0,0,0,9.799999999999999,53,8528
Brazil,Indaial,73.0,1.0,2.0,8.0,73.0,1,0,0,0,1,24.799999999999997,22,8548
Philippines,Indang,50.0,1.0,24.0,0.0,50.0,0,0,0,0,0,21.0,122,8550
Brazil,Itagi,25.0,1.0,9.0,1.0,25.0,0,0,0,0,0,10.0,22,8732
Nigeria,Iseyin,90.0,1.0,18.0,2.0,90.0,1,0,0,0,1,32.6,113,8668
Mexico,Isla,81.0,1.0,26.0,3.0,81.0,1,0,0,0,1,31.95,100,8689
Brazil,Itaitinga,29.0,1.0,20.0,1.0,29.0,0,0,0,0,0,13.95,22,8738
Brazil,Itambe,21.0,1.0,8.0,1.0,21.0,0,0,0,0,0,8.55,22,8749
Brazil,Itapemirim,44.0,1.0,16.0,1.0,44.0,0,0,0,0,0,17.65,22,8763
South Sudan,Torit,65.0,1.0,12.0,0.0,65.0,1,0,0,0,1,22.7,145,21030
Guatemala,Totonicapan,66.0,1.0,7.0,6.0,66.0,1,0,0,0,1,23.45,61,21075
United States of America,Trenton,53.0,1.0,28.0,10.0,53.0,1,0,0,0,1,25.599999999999998,166,21156
United States of America,Trujillo Alto,56.0,1.0,23.0,0.0,56.0,1,0,0,0,1,22.55,166,21216
Ireland,Tullamore,57.0,1.0,26.0,3.0,57.0,1,0,0,0,1,24.549999999999997,73,21292
Turkey,Tunceli,62.0,1.0,35.0,0.0,62.0,1,0,0,0,1,27.349999999999998,159,21314
Viet Nam,Tuyen Quang,139.0,1.0,68.5,1.0,107.0,3,0,3,0,2,74.89999999999999,171,21374
United States of America,Two Rivers,49.0,1.0,27.0,4.0,49.0,0,0,0,0,0,22.65,166,21386
United States of America,Tysons Corner,55.0,1.0,25.0,10.0,55.0,1,0,0,0,1,25.9,166,21393
Russian Federation,Tyukalinsk,34.0,1.0,34.0,0.0,32.0,0,0,0,0,0,18.3,130,21394
India,Udupi,80.0,1.0,25.0,0.0,80.0,1,0,0,0,1,30.45,69,21441
India,Umaria,139.0,1.0,68.5,0.0,145.0,3,0,1,0,3,72.30000000000001,69,21492
United States of America,Willowbrook,126.0,1.0,3.0,10.0,126.0,2,0,0,0,2,48.349999999999994,166,22693
United States of America,Wilmette,63.0,1.0,9.0,10.0,63.0,1,0,0,0,1,27.049999999999997,166,22695
United States of America,Wolf Trap,53.0,1.0,27.0,10.0,53.0,1,0,0,0,1,25.549999999999997,166,22768
United States of America,Woodhaven,86.0,1.0,38.0,10.0,86.0,1,0,0,0,1,38.199999999999996,166,22795
China,Wulanhaote,47.0,1.0,47.0,0.0,25.0,0,0,0,0,0,19.65,33,22831
China,Xiangdong,78.0,1.0,25.0,7.0,78.0,1,0,0,0,1,31.799999999999997,33,22867
China,Xiaoweizhai,61.0,1.0,61.0,0.0,54.0,1,0,1,0,1,31.849999999999998,33,22877
China,Xushan,112.0,1.0,44.0,4.0,112.0,2,0,0,0,2,46.0,33,22923
Peru,Yanacancha,27.0,1.0,6.0,1.0,27.0,0,0,0,0,0,9.85,121,22962
China,Yancheng,139.0,1.0,68.5,2.0,145.0,3,0,3,0,3,85.14999999999999,33,22968
Democratic Republic of the Congo,Yangambi,121.0,1.0,24.0,0.0,121.0,2,0,0,0,2,43.099999999999994,43,22972
China,Yanggu,139.0,1.0,68.5,5.0,145.0,3,0,2,0,3,84.35,33,22974
China,Yangliuqing,139.0,1.0,68.5,9.0,144.0,2,0,2,0,2,73.49999999999999,33,22976
China,Yanji,69.0,1.0,48.0,0.0,69.0,1,0,0,0,1,33.1,33,22981
United States of America,Yankton,47.0,1.0,34.0,3.0,47.0,0,0,0,0,0,23.55,166,22982
Germany,Wenden,69.0,1.0,34.0,4.0,69.0,1,0,0,0,1,30.4,58,22511
United States of America,West Carrollton City,84.0,1.0,9.0,10.0,84.0,1,0,0,0,1,34.050000000000004,166,22545
Belgium,Wetteren,64.0,1.0,32.0,6.0,64.0,1,0,0,0,1,28.9,15,22615
Canada,Whitehorse,20.0,1.0,20.0,1.0,10.0,0,0,0,0,0,8.45,29,22641
Ireland,Wicklow,38.0,1.0,30.0,3.0,38.0,0,0,0,0,0,19.849999999999998,73,22657
Switzerland,Wil,59.0,1.0,27.0,3.0,59.0,1,0,0,0,1,25.4,152,22671
Germany,Wildeshausen,67.0,1.0,30.0,5.0,67.0,1,0,0,0,1,29.049999999999997,58,22674
United States of America,Williamsport,75.0,1.0,13.0,10.0,75.0,1,0,0,0,1,30.15,166,22684
United States of America,Fox Lake,60.0,1.0,18.0,10.0,60.0,1,0,0,0,1,28.15,166,6531
Brazil,Foz Do Iguacu,22.0,1.0,13.0,0.0,22.0,0,0,0,0,0,10.049999999999999,22,6533
Denmark,Frederikssund,36.0,1.0,36.0,0.0,25.0,0,0,0,0,0,16.7,44,6572
United States of America,Friendly,41.0,1.0,30.0,8.0,41.0,0,0,0,0,0,21.999999999999996,166,6600
Germany,Fuldatal,44.0,1.0,28.0,2.0,44.0,0,0,0,0,0,20.9,58,6642
Japan,Furano,29.0,1.0,26.0,1.0,29.0,0,0,0,0,0,15.649999999999999,77,6657
China,Fuzhou,139.0,1.0,68.5,5.0,99.0,3,0,3,0,1,73.55,33,6674
United Kingdom of Great Britain and Northern Ireland,Galashiels,25.0,1.0,25.0,3.0,23.0,0,0,0,0,0,14.099999999999998,164,6708
Germany,Gangelt,41.0,1.0,26.0,4.0,41.0,0,0,0,0,0,19.999999999999996,58,6753
Germany,Garbsen,36.0,1.0,33.0,1.0,36.0,0,0,0,0,0,19.299999999999997,58,6774
Cameroon,Garoua,59.0,1.0,12.0,0.0,59.0,1,0,0,0,1,21.099999999999998,28,6809
Somalia,Garowe,98.0,1.0,17.0,0.0,98.0,1,0,0,0,1,33.65,143,6811
Netherlands,Geertruidenberg,35.0,1.0,33.0,2.0,35.0,0,0,0,0,0,19.25,109,6868
Australia,Geraldton,29.0,1.0,29.0,0.0,13.0,0,0,0,0,0,11.15,8,6919
Germany,Germersheim,51.0,1.0,29.0,3.0,51.0,1,0,0,0,1,23.499999999999996,58,6927
Colombia,Girardot,103.0,1.0,9.0,6.0,103.0,2,0,0,0,2,35.449999999999996,34,6993
Russian Federation,Glubokiy,35.0,1.0,35.0,0.0,17.0,0,0,0,0,0,14.049999999999999,130,7053
United Kingdom of Great Britain and Northern Ireland,Golborne,35.0,1.0,30.0,4.0,35.0,0,0,0,0,0,19.2,164,7103
Portugal,Gondomar,27.0,1.0,27.0,2.0,21.0,0,0,0,0,0,13.55,124,7134
Russian Federation,Goryachevodskiy,48.0,1.0,39.0,1.0,48.0,0,0,0,0,0,24.599999999999998,130,7175
India,Govindgarh,139.0,1.0,45.0,0.0,145.0,5,0,0,0,5,103.55,69,7208
Côte d'Ivoire,Grand Lahou,54.0,1.0,25.0,0.0,54.0,1,0,0,0,1,22.65,42,7240
United States of America,Hoffman Estates,61.0,1.0,26.0,10.0,61.0,1,0,0,0,1,29.2,166,8098
Sweden,Hoganas,36.0,1.0,36.0,1.0,30.0,0,0,0,0,0,18.45,151,8102
United States of America,Holly Springs,42.0,1.0,42.0,2.0,37.0,0,0,0,0,0,22.3,166,8131
Germany,Holzminden,42.0,1.0,32.0,1.0,42.0,0,0,0,0,0,20.85,58,8139
China,Huaicheng,139.0,1.0,45.0,4.0,145.0,3,0,0,0,3,58.349999999999994,33,8241
Ethiopia,Huruta,102.0,1.0,23.0,0.0,102.0,2,0,0,0,2,36.55,52,8343
Nigeria,Idanre,115.0,1.0,24.0,2.0,115.0,2,0,0,0,2,41.6,113,8407
Italy,Iglesias,64.0,1.0,53.0,1.0,64.0,1,0,1,0,1,32.900000000000006,75,8437
Germany,Ihlow,40.0,1.0,30.0,2.0,40.0,0,0,0,0,0,20.2,58,8452
Japan,Iizuka,45.0,1.0,45.0,0.0,38.0,0,0,0,0,0,22.849999999999998,77,8458
Thailand,Sungai Kolok,65.0,1.0,34.0,0.0,65.0,1,0,0,0,1,28.2,155,19995
Indonesia,Sungaipenuh,17.0,1.0,13.0,0.0,17.0,0,0,0,0,0,8.549999999999999,70,20001
Russian Federation,Suvorovskaya,52.0,1.0,39.0,1.0,52.0,1,0,0,0,1,25.8,130,20065
Japan,Suzu,69.0,1.0,68.5,1.0,60.0,1,0,1,0,1,35.7,77,20074
Poland,Swiecie,44.0,1.0,33.0,1.0,44.0,0,0,0,0,0,21.9,123,20107
Hungary,Szeged,50.0,1.0,41.0,1.0,50.0,0,0,0,0,0,25.7,67,20134
Hungary,Szerencs,72.0,1.0,42.0,1.0,72.0,1,0,0,0,1,32.55,67,20139
Tunisia,Taburbah,49.0,1.0,49.0,1.0,32.0,0,0,0,0,0,22.3,158,20168
India,Tadepallegudem,127.0,1.0,65.0,1.0,127.0,2,0,1,0,2,55.0,69,20183
Iran (Islamic Republic of),Tafresh,125.0,1.0,68.5,1.0,82.0,2,0,2,0,1,56.49999999999999,71,20189
Philippines,Tagaytay,41.0,1.0,25.0,1.0,41.0,0,0,0,0,0,18.999999999999996,122,20195
Japan,Tajimi,52.0,1.0,34.0,3.0,52.0,1,0,0,0,1,25.05,77,20221
Japan,Takahagi,47.0,1.0,47.0,1.0,44.0,0,0,0,0,0,25.4,77,20226
Japan,Takahashi,36.0,1.0,36.0,3.0,34.0,0,0,0,0,0,20.15,77,20228
India,Tal,139.0,1.0,39.0,0.0,145.0,3,0,0,0,3,56.45,69,20254
Philippines,Talacogon,37.0,1.0,19.0,0.0,37.0,0,0,0,0,0,16.05,122,20256
Russian Federation,Taldom,46.0,1.0,27.0,1.0,46.0,0,0,0,0,0,20.999999999999996,130,20272
Kazakhstan,Talgar,69.0,1.0,42.0,0.0,69.0,1,0,0,0,1,31.4,79,20277
United States of America,Tamiami,64.0,1.0,18.0,10.0,64.0,1,0,0,0,1,26.9,166,20323
Israel,Tamra,92.0,1.0,52.0,8.0,92.0,1,0,1,0,1,42.99999999999999,74,20331
Japan,Tanashi,58.0,1.0,43.0,3.0,58.0,1,0,0,0,1,29.099999999999998,77,20339
Romania,Tandarei,41.0,1.0,41.0,0.0,38.0,0,0,0,0,0,21.849999999999998,129,20347
Philippines,Tantangan,35.0,1.0,20.0,0.0,35.0,0,0,0,0,0,15.7,122,20382
Indonesia,Tarogong,88.0,1.0,53.0,1.0,88.0,1,0,1,0,1,40.3,70,20450
Turkey,Tatvan,45.0,1.0,45.0,0.0,43.0,0,0,0,0,0,24.15,159,20484
India,Yaval,102.0,1.0,38.0,0.0,102.0,2,0,0,0,2,40.3,69,23014
United Kingdom of Great Britain and Northern Ireland,Yeovil,58.0,1.0,24.0,7.0,58.0,1,0,0,0,1,25.349999999999998,164,23060
China,Yuanping,139.0,1.0,35.0,5.0,143.0,2,0,0,0,2,53.3,33,23134
China,Yuncheng,139.0,1.0,36.0,8.0,145.0,3,0,0,0,3,67.5,33,23155
Poland,Zambrow,35.0,1.0,35.0,0.0,17.0,0,0,0,0,0,14.049999999999999,123,23230
Poland,Zamosc,48.0,1.0,35.0,1.0,48.0,0,0,0,0,0,23.599999999999998,123,23232
Belgium,Zaventem,58.0,1.0,29.0,6.0,58.0,1,0,0,0,1,26.349999999999998,15,23265
Belgium,Zemst,65.0,1.0,27.0,8.0,65.0,1,0,0,0,1,28.45,15,23300
China,Zhaozhou,73.0,1.0,66.0,0.0,73.0,1,0,1,0,1,38.8,33,23327
China,Zhicheng,139.0,1.0,36.0,10.0,145.0,3,0,0,0,3,61.05,33,23342
China,Zhongshan,98.0,1.0,33.0,9.0,98.0,1,0,0,0,1,40.5,33,23348
China,Zhuji,139.0,1.0,45.0,10.0,145.0,3,0,0,0,3,61.349999999999994,33,23359
Mexico,Zimatlan,75.0,1.0,9.0,6.0,75.0,1,0,0,0,1,26.65,100,23377
Mexico,Zinacantepec,139.0,1.0,8.0,10.0,145.0,3,0,0,0,3,56.199999999999996,100,23380
Russian Federation,Zmeinogorsk,35.0,1.0,35.0,0.0,21.0,0,0,0,0,0,15.25,130,23403
Netherlands,Aalburg,30.0,1.0,30.0,2.0,29.0,0,0,0,0,0,16.7,109,4
Spain,Abaran,47.0,1.0,21.0,2.0,47.0,0,0,0,0,0,20.05,146,23
Italy,Abbiategrasso,69.0,1.0,37.0,4.0,69.0,1,0,0,0,1,31.15,75,29
Côte d'Ivoire,Abidjan,105.0,1.0,15.0,4.0,105.0,2,0,0,0,2,37.05,42,44
Mexico,Acuautla,139.0,1.0,9.0,10.0,145.0,3,0,0,0,3,63.099999999999994,100,115
United States of America,Acworth,64.0,1.0,37.0,8.0,64.0,1,0,0,0,1,30.849999999999998,166,119
United States of America,Adelphi,54.0,1.0,32.0,5.0,54.0,1,0,0,0,1,25.65,166,133
India,Afzalgarh,139.0,1.0,68.5,3.0,145.0,3,0,3,0,3,107.45,69,173
Nigeria,Agbor,139.0,1.0,13.0,5.0,139.0,2,0,0,0,2,47.599999999999994,113,181
France,Aix En Provence,55.0,1.0,26.0,3.0,55.0,1,0,0,0,1,23.95,54,256
Myanmar,Akyab,139.0,1.0,46.0,0.0,145.0,2,0,0,0,2,55.2,106,319
United States of America,Alabaster,80.0,1.0,18.0,10.0,80.0,1,0,0,0,1,31.2,166,320
Russian Federation,Alagir,50.0,1.0,36.0,1.0,50.0,0,0,0,0,0,24.45,130,323
Belgium,Alken,35.0,1.0,25.0,3.0,35.0,0,0,0,0,0,17.7,15,460
Canada,Alma,55.0,1.0,27.0,0.0,55.0,1,0,0,0,1,23.45,29,482
Brazil,Almirante Tamandare,13.0,1.0,12.0,1.0,13.0,0,0,0,0,0,7.3500000000000005,22,494
Spain,Almoradi,48.0,1.0,23.0,3.0,48.0,0,0,0,0,0,21.099999999999998,146,498
Papua New Guinea,Alotau,28.0,1.0,28.0,0.0,13.0,0,0,0,0,0,10.9,119,507
Germany,Altotting,50.0,1.0,29.0,3.0,50.0,0,0,0,0,0,23.2,58,549
Madagascar,Ambovombe,26.0,1.0,26.0,0.0,20.0,0,0,0,0,0,12.5,92,619
China,Anqiu,107.0,1.0,68.5,5.0,86.0,2,0,2,0,1,54.199999999999996,33,793
Madagascar,Antalaha,22.0,1.0,22.0,0.0,20.0,0,0,0,0,0,11.5,92,805
United States of America,Antioch,76.0,1.0,7.0,10.0,76.0,1,0,0,0,1,31.400000000000002,166,813
Lithuania,Anyksciai,47.0,1.0,32.0,0.0,47.0,0,0,0,0,0,22.3,90,831
Ghana,Apam,104.0,1.0,14.0,1.0,104.0,2,0,0,0,2,35.35,59,843
Mexico,Apaseo El Grande,60.0,1.0,16.0,5.0,60.0,1,0,0,0,1,23.45,100,849
Brazil,Aragarcas,32.0,1.0,3.0,2.0,32.0,0,0,0,0,0,11.049999999999999,22,896
Russian Federation,Arkadak,28.0,1.0,28.0,1.0,15.0,0,0,0,0,0,11.95,130,991
France,Armentieres,34.0,1.0,28.0,2.0,34.0,0,0,0,0,0,17.7,54,1007
Russian Federation,Arsk,28.0,1.0,28.0,1.0,19.0,0,0,0,0,0,13.149999999999999,130,1034
Azerbaijan,Artyom,48.0,1.0,35.0,0.0,48.0,0,0,0,0,0,23.349999999999998,10,1047
Armenia,Ashtarak,39.0,1.0,29.0,1.0,39.0,0,0,0,0,0,19.4,6,1105
Ethiopia,Asosa,97.0,1.0,14.0,0.0,97.0,1,0,0,0,1,32.8,52,1121
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75.0,1.0,37.0,0.0,75.0,1,0,0,0,1,31.95,71,1138
